Date,Mentions,Tweet,Sentiment
2024-09-19,"@rajshamani, @ajlakhotia","Super excited to bring you Episode 1 of MoneyMantra featuring 
@rajshamani
 and 
@ajlakhotia
 ",0.35416666666666663
2024-09-19,"@stockgro, @rajshamani"," We're kicking off 'MoneyMantra' with a bang! Episode 1 is officially out on @stockgro

Join me in our first episode, where I sit with the dynamic author, influencer, and podcaster @rajshamani ",0.125
2024-09-19,@StockGro,"Does your portfolio have stocks that need attention?Come on 
@StockGro
 and ask our SEBI registered experts to help you out!

We have 100+ SEBI-registered experts at your disposal

finance sehwag virendersehwag stockmarket PSUBanks",0.0
2024-09-19,,"IPO baba ki jai

IPOAlert finance investing",0.0
2024-09-19,,"Confusing day in StockMarketIndia: Nifty falls 41 Points!

BankNifty closes strong, but mid-caps down 1%
Fin stocks Shriram Finance, Bajaj Finance among top gainers
IT index drops 3%; TCS, Infosys among top losers

How will StockMarkets react to the FOMC decision?",0.11712962962962963
2024-09-19,,"IPO baba ki jai

IPOAlert finance investing",0.0
2024-09-19,,"Confusing day in StockMarketIndia: Nifty falls 41 Points!

BankNifty closes strong, but mid-caps down 1%
Fin stocks Shriram Finance, Bajaj Finance among top gainers
IT index drops 3%; TCS, Infosys among top losers

How will StockMarkets react to the FOMC decision?",0.11712962962962963
2024-09-19,,"Ashneer Grover's journey from CFO at Blinkit to co-founding BharatPe and Third Unicorn shows his bold entrepreneurial spirit.

With a net worth of $108 million and an annual salary of ₹100 Cr, he became a household name as a Shark Tank India judge, investing in innovative",0.22666666666666666
2024-09-19,,"Analysis paralysis is the silent killer of stock market opportunities! Nilesh Shah reveals how simple observation can unlock investing success.

Remember: genius lies in simplicity. Don't overcomplicate your strategy!

Watch the full episode to uncover brilliant investing",0.325
2024-09-19,,"To the man making India a superpower, happy 74th birthday Modiji 

pm primeminister finance stockmarket happybirthday",0.8
2024-09-19,@narendramodi,"Wondering what's in the PM’s portfolio?

Check out the wealth portfolio and the cool benefits enjoyed by the PMO India - @narendramodi 
From SPG protection, to a big salary, discover the perks of being at the top!",0.36875
2024-09-19,@nse,"Stay Alert! Don’t follow stock tips, advice, or tall promises, as this may lead to major financial losses. Smart investors always do their own research before investing.

Report such practices to us at Feedbk_invg@nse.co.in or call us on 1800 266 0050.",0.17535714285714285
2024-09-19,,"To the man making India a superpower, happy 74th birthday Modiji 

pm primeminister finance stockmarket happybirthday",0.8
2024-09-19,@narendramodi,"Wondering what's in the PM’s portfolio?

Check out the wealth portfolio and the cool benefits enjoyed by the PMO India - @narendramodi 
From SPG protection, to a big salary, discover the perks of being at the top!",0.36875
2024-09-19,@nse,"Stay Alert! Don’t follow stock tips, advice, or tall promises, as this may lead to major financial losses. Smart investors always do their own research before investing.

Report such practices to us at Feedbk_invg@nse.co.in or call us on 1800 266 0050.",0.17535714285714285
2024-09-19,,"Biggest Upcoming Concerts in India 2024 - How many of these are you attending?

Did you get the tickets for Diljit Dosanjh Concert?

diljeetdosanjh diljeetconcert diljitdosanjh dilluminatitour2024 diljitconcert finance zomato wealth superstar",0.5
2024-09-19,"@diljitdosanjh, @zomato","Abhi SIP start karlu kya? Shayad next concert tak paise ban jaye  DiljitDosanjh Finance Investment 
@diljitdosanjh
 @zomato",0.0
2024-09-19,,"IPOAlert: Northern Arc Capital, an NBFC with presence across 671 districts, has impacted 101.82 million lives by providing credit to underserved individuals. 

Here’s everything you need to know about Northern Arc Capital IPO 

finance trading investing ipo ipoallotment",0.0
2024-09-19,,"Spider-Man: Welcome Home, IPO

ipoallotment Finance InvestmentOpportunity",0.8
2024-09-19,,"IPOAlert: Northern Arc Capital, an NBFC with presence across 671 districts, has impacted 101.82 million lives by providing credit to underserved individuals. 

Here’s everything you need to know about Northern Arc Capital IPO 

finance trading investing ipo ipoallotment",0.0
2024-09-19,,"Spider-Man: Welcome Home, IPO

ipoallotment Finance InvestmentOpportunity",0.8
